model,best_params,cv_f1_mean,test_accuracy,test_precision,test_recall,test_f1,test_auc
logreg,"{'clf__C': 10, 'tfidf__max_df': 0.7, 'tfidf__min_df': 3}",0.9688928427929324,0.9726321438154011,0.9503311258278145,0.981532147742818,0.9656796769851952,0.9967624259005929
rf,"{'clf__max_depth': None, 'clf__min_samples_split': 5, 'clf__n_estimators': 200, 'tfidf__max_df': 0.7, 'tfidf__min_df': 3}",0.9580871349768045,0.9643144620338073,0.9427048634243838,0.9678522571819426,0.9551130610867364,0.9944634191270841
nb,"{'clf__alpha': 0.1, 'tfidf__max_df': 0.7, 'tfidf__min_df': 3}",0.9515597148830712,0.9589482157231017,0.983739837398374,0.9103967168262654,0.9456483126110125,0.996127352835482
